Name,Category,Phone,Address,City,Zipcode,Website,AdditionalInfo
Meeker St. Emporium,Clothing Assistance,(253) 813-0494,403 W. Meeker St.,Kent,98032,,Clothing assistance
Westwood Christian Assembly,Clothing Assistance,(206) 763-0585,9252 16th Ave SW,Seattle,98106,http://www.wcaseattle.org,"Operates a clothing bank with free clothing for men, women, children and infants; Tuesdays 1:00pm - 3:00pm"
YWCA (Seattle),,(206) 461-4851,1118 5th Ave.,Seattle,98101-,,Call for information
YWCA of Seattle/King County - Family Village,Job Interview Clothing,(425) 556-1350,16601 NE 80th St,Redmond,98052,,Provides job interview clothing
YWCA of Seattle/King County - Seattle,Clothing Assistance,(206) 325-3453,1118 5th Ave,Seattle,98101,http://www.ywcaworks.org,"Offers free clothing for job interviews for those with extreme need, must be referred by YWCA or another agency, 3 distribution sites. Clients must be referred by approved agency. Provides interview-appropriate clothing for low-income women"
Providence Regina House,Clothing Assistance,(206) 763-9204,8201 10th Ave S,Seattle,98108,,"Provides free clothing, primarily to residents of South Park neighborhood."
Plateau Outreach Ministries,"Food Assistance, Clothing Assistance",(360) 825-8961,1749 Cole St,Enumclaw,98022,,"Wednesdays 10:00am - 12:00pm. Provides food and clothing to anyone in need. Clients can visit weekly. Assists with eviction prevention, move-in costs, utilities, propane, prescriptions, school supplies for children, motel vouchers. Serves Enumcla"
Phoenix Resource Group,Job-Appropriate Clothing,(425) 827-4566,,Kirkland,98033,,Provides job-appropriate clothing and make-up for low-income women seeking employment. Call to check hours for appointment times
Overlake Service League,Children's School Clothing Vouchers,(425) 451-1175,,Bellevue,,http://www.overlakeserviceleague.com,Provides children's school clothing vouchers throughout the summer. Serves ages 4 - 15. Call for home visit in June.
Operational Emergency Center,Clothing Assistance,(206) 772-9232,11410 Renton Ave S,Seattle,98178,http://www.oecagency.org,Clothing
Seattle Union Gospel Mission - Men's Shelter,Clothing Assistance,(206) 622-5177,318 2nd Ave Est S,Seattle,98104,http://www.ugm.org,"Offers free clothing for men in need; Mondays through Fridays 9:30am - 10:30am and 1:30pm - 2:30pm. Operates a day room for men only, with shower and bathroom facilities. Receives mail for homeless men and women and holds mail up to one week."
Seattle Milk Fund,Clothing Assistance,(206) 526-7944,1130 N Northgate Way,Seattle,98133,http://www.seattlemilkfund.org,Gives shoe vouchers to purchase shoes for children in Seattle Public Schools. Written referral required from school. Provides backpacks for school.
Salvation Army (White Center),Food Assistance,(206) 767-3150,9045 16th Ave SW,Seattle,98106,http://www.nwarmy.org,"Provides a food bank, utility assistance, rent assistance, emergency lodge, child care. Emergency prescriptions, clothing"
Salvation Army (Seattle),Food Assistance,(206) 447-9944,1101 Pike St.,Seattle,98101,http://www.nwarmy.org,"Provides a food bank, utility assistance, rent assistance, emergency lodge, child care. Emergency prescriptions, clothing"
Salvation Army (Renton),Food Assistance,(425) 255-0171,422 S. 3rd St.,Renton,98057,http://www.nwarmy.org,"Provides a food bank, utility assistance, rent assistance, emergency lodge, child care. Emergency prescriptions, clothing"
Salvation Army (North Seattle),Food Assistance,(206) 783-1226,9501 Greenwood Ave. N,Seattle,98103,http://www.nwarmy.org,"Provides a food bank, utility assistance, rent assistance, emergency lodge, child care. Emergency prescriptions, clothing"
Salvation Army - Social Services Department - Renton,Clothing Assistance,(425) 255-5969,206 S Tobin St,Renton,98055,http://www.nwarmy.org,Clothing bank referrals are available for Renton area residents; May pick up referral slip once every 60 days.
Ruby Room,Clothing Assistance,(206) 439-7575,3202 49th Ave SW,Seattle,98116,http://www.rubyroomseattle.org,"Provides formal prom attire to low-income high school girls at seasonal boutiques, usually held in April and May. Referral required."
South King County St. Vincent De Paul - Holy Family Conference,Clothing Assistance,(253) 833-2546,717 Auburn Way N,Auburn,98002,,"Provides clothing and furniture vouchers for Auburn, Algona, and Pacific residents."
Cinderella's Trunk,Clothing Assistance,(425) 806-7429,10116 NE 185th St,Bothell,98011,http://www.cinderellastrunk.com,"Formal and semi-formal wear for people who would not otherwise be able to attend formal and semi-formal events due to financial constraints. Free, low-cost/sliding-scale/negotiable"
